TICKER,Date,Open,High,Low,Close,Adj Close,Volume,H-L,C-O,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV,Next Day Close
ISAT.JK,2018-11-07,2380,2380,2320,2320,2011.049805,505300,60,-60,2397.142857,2515,2577.619048,45.72172559,2290
ISAT.JK,2018-11-08,2350,2360,2290,2290,1985.044678,2305400,70,-60,2378.571429,2491.428571,2557.142857,47.05619741,2250
ISAT.JK,2018-11-09,2290,2320,2230,2250,1950.37146,954000,90,-40,2357.142857,2463.571429,2534.761905,48.55041562,2150
ISAT.JK,2018-11-12,2250,2250,2150,2150,1863.688477,811300,100,-100,2334.285714,2421.428571,2511.428571,56.52643714,2160
ISAT.JK,2018-11-13,2150,2200,2100,2160,1872.356567,276000,100,10,2294.285714,2385,2482.857143,73.90470054,2120
ISAT.JK,2018-11-14,2180,2180,2120,2120,1837.68335,181700,60,-60,2267.142857,2352.142857,2457.142857,84.20496536,2100
ISAT.JK,2018-11-15,2120,2140,2100,2100,1820.346802,1092800,40,-20,2234.285714,2324.285714,2433.333333,91.07819769,2180
ISAT.JK,2018-11-16,2110,2290,2110,2180,1889.693237,680600,180,70,2198.571429,2297.857143,2409.52381,87.06866475,2160
ISAT.JK,2018-11-19,2180,2220,2140,2160,1872.356567,240500,80,-20,2178.571429,2278.571429,2387.142857,68.66065623,2160
ISAT.JK,2018-11-20,2160,2160,2160,2160,1872.356567,0,0,0,2160,2258.571429,2362.380952,47.95831523,2130
ISAT.JK,2018-11-21,2160,2170,2130,2130,1846.351685,144700,40,-30,2147.142857,2240.714286,2330,27.51622898,2120
ISAT.JK,2018-11-22,2130,2160,2100,2120,1837.68335,753100,60,-10,2144.285714,2219.285714,2304.761905,28.19996623,2110
ISAT.JK,2018-11-23,2130,2150,2100,2110,1829.015137,448200,50,-20,2138.571429,2202.857143,2280.952381,28.53569194,2030
ISAT.JK,2018-11-26,2110,2140,2010,2030,1759.668457,766400,130,-80,2137.142857,2185.714286,2261.904762,29.84084768,2050
ISAT.JK,2018-11-27,2030,2140,2030,2050,1777.005249,997100,110,20,2127.142857,2162.857143,2240.952381,49.56957592,2080
ISAT.JK,2018-11-28,2070,2110,2060,2080,1803.010132,157100,50,10,2108.571429,2143.571429,2221.904762,50.80307452,2030
ISAT.JK,2018-11-29,2080,2160,1990,2030,1759.668457,915000,170,-50,2097.142857,2128.571429,2204.761905,46.08480795,1985
ISAT.JK,2018-11-30,2050,2060,1985,1985,1720.661133,1504500,75,-65,2078.571429,2112.857143,2186.666667,42.5944329,2080
ISAT.JK,2018-12-03,2000,2080,2000,2080,1803.010132,1017100,80,80,2057.857143,2101.071429,2165.47619,48.29226498,2030
ISAT.JK,2018-12-04,2100,2120,2020,2030,1759.668457,723000,100,-70,2052.142857,2095.357143,2152.619048,41.61902038,1990
ISAT.JK,2018-12-05,2030,2030,1985,1990,1724.995361,1780200,45,-40,2040.714286,2088.928571,2137.380952,33.22004558,1965
ISAT.JK,2018-12-06,2000,2020,1960,1965,1703.324463,874900,60,-35,2035,2081.071429,2120.238095,38.40572874,1945
ISAT.JK,2018-12-07,1970,1980,1920,1945,1685.987793,2380900,60,-25,2022.857143,2065.714286,2103.333333,45.63050358,1885
ISAT.JK,2018-12-10,1950,1970,1885,1885,1633.977905,1709400,85,-65,2003.571429,2050.357143,2086.904762,45.98136268,1850
ISAT.JK,2018-12-11,1895,1895,1835,1850,1603.638794,1196100,60,-45,1982.857143,2030.714286,2069.52381,61.97157567,1810
ISAT.JK,2018-12-12,1850,1875,1795,1810,1568.965454,2122600,80,-40,1963.571429,2010.714286,2055.238095,79.67194643,1790
ISAT.JK,2018-12-13,1820,1825,1775,1790,1551.628906,2399000,50,-30,1925,1988.571429,2038.571429,79.26747967,1820
ISAT.JK,2018-12-14,1800,1855,1790,1820,1577.633789,1182700,65,20,1890.714286,1965.714286,2022.857143,78.17867204,1785
ISAT.JK,2018-12-17,1830,1840,1775,1785,1547.294678,1615500,65,-45,1866.428571,1950.714286,2009.52381,67.92853387,1755
ISAT.JK,2018-12-18,1780,1835,1745,1755,1521.289795,1167500,90,-25,1840.714286,1931.785714,1990.714286,57.69377288,1735
ISAT.JK,2018-12-19,1765,1770,1735,1735,1503.953125,1594100,35,-30,1813.571429,1908.571429,1971.428571,43.3699479,1745
ISAT.JK,2018-12-20,1740,1760,1735,1745,1512.62146,947000,25,5,1792.142857,1887.5,1951.190476,39.03600292,1730
ISAT.JK,2018-12-21,1745,1745,1715,1730,1499.619019,1943100,30,-15,1777.142857,1870.357143,1932.857143,32.769033,1730
ISAT.JK,2018-12-24,1730,1730,1730,1730,1499.619019,0,0,0,1765.714286,1845.357143,1914.285714,33.34523597,1730
ISAT.JK,2018-12-25,1730,1730,1730,1730,1499.619019,0,0,0,1757.142857,1823.928571,1896.190476,33.77093707,1700
ISAT.JK,2018-12-26,1725,1725,1675,1700,1473.614014,961800,50,-25,1744.285714,1805.357143,1881.904762,20.29543697,1690
ISAT.JK,2018-12-27,1710,1715,1685,1690,1464.945679,413400,30,-20,1732.142857,1786.428571,1865.238095,17.04336206,1685
ISAT.JK,2018-12-28,1700,1700,1685,1685,1460.611572,916400,15,-15,1722.857143,1768.214286,1846.666667,19.97021592,1685
ISAT.JK,2018-12-31,1685,1685,1685,1685,1460.611572,0,0,0,1715.714286,1753.928571,1830.238095,23.5280987,1685
ISAT.JK,2019-01-01,1685,1685,1685,1685,1460.611572,0,0,0,1707.142857,1742.142857,1815.952381,21.95775164,1645
ISAT.JK,2019-01-02,1685,1690,1645,1645,1425.938354,933700,45,-40,1700.714286,1733.214286,1797.142857,20.70196678,1650
ISAT.JK,2019-01-03,1645,1680,1645,1650,1430.272461,1670200,35,5,1688.571429,1722.857143,1778.809524,25.11876551,1725
ISAT.JK,2019-01-04,1655,1785,1655,1725,1495.28479,2955600,130,70,1677.142857,1710.714286,1762.619048,20.98752464,1765
ISAT.JK,2019-01-07,1745,1805,1740,1765,1529.95813,5718800,65,20,1680.714286,1706.428571,1751.190476,26.83725201,1805
ISAT.JK,2019-01-08,1775,1830,1775,1805,1564.63147,8600100,55,30,1691.428571,1707.142857,1742.619048,41.90408549,2250
ISAT.JK,2019-01-09,1840,2250,1835,2250,1950.37146,78808600,415,410,1708.571429,1712.142857,1738.809524,59.63180679,1945
ISAT.JK,2019-01-10,2100,2100,1890,1945,1685.987793,35247300,210,-155,1789.285714,1748.214286,1757.857143,211.4716012,1975
ISAT.JK,2019-01-11,1950,2010,1945,1975,1711.992798,6310200,65,25,1826.428571,1763.571429,1764.285714,212.9302367,2100
ISAT.JK,2019-01-14,1975,2120,1960,2100,1820.346802,14616500,160,125,1873.571429,1781.071429,1773.095238,202.3345885,2130
