TICKER;Date;Open;High;Low;Close;Adj Close;Volume;H-L;C-O;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;NEXT DAY CLOSE
TLKM.JK;14/11/18;3860;3880;3750;3750;3232.642334;72968500;130;-110;3905.714286;3832.142857;3801.904762;56.82051943;3910
TLKM.JK;15/11/18;3800;3940;3790;3910;3370.568115;71440400;150;110;3885.714286;3846.428571;3800.47619;82.23080178;4050
TLKM.JK;16/11/18;3930;4110;3920;4050;3491.253662;128595600;190;120;3888.571429;3866.428571;3800.952381;82.75034168;3950
TLKM.JK;19/11/18;4050;4050;3930;3950;3405.049561;72785900;120;-100;3902.857143;3894.285714;3814.761905;101.606149;3950
TLKM.JK;20/11/18;3950;3950;3950;3950;3405.049561;0;0;0;3895.714286;3905;3825.238095;95.19403743;3960
TLKM.JK;21/11/18;3860;3960;3850;3960;3413.670166;97525800;110;100;3900;3912.142857;3832.380952;97.12534856;3980
TLKM.JK;22/11/18;3910;3990;3910;3980;3430.911133;52279900;80;70;3914.285714;3917.857143;3844.761905;97.61440175;3990
TLKM.JK;23/11/18;3980;4000;3950;3990;3439.53125;35499400;50;10;3935.714286;3920.714286;3866.666667;92.35026491;3990
TLKM.JK;26/11/18;3980;4000;3950;3990;3439.53125;43879100;50;10;3970;3927.857143;3887.619048;43.58898944;3880
TLKM.JK;27/11/18;3940;3950;3850;3880;3344.707275;116422400;100;-60;3981.428571;3935;3904.761905;34.84660262;3720
TLKM.JK;28/11/18;3890;3900;3710;3720;3206.781006;195860500;190;-170;3957.142857;3930;3915.238095;38.17254062;3740
TLKM.JK;29/11/18;3770;3810;3710;3740;3224.021973;120921500;100;-30;3924.285714;3910;3911.428571;97.78499252;3680
TLKM.JK;30/11/18;3760;3780;3680;3680;3172.299805;151545800;100;-80;3894.285714;3897.142857;3906.190476;118.5829025;3700
TLKM.JK;03/12/18;3740;3770;3700;3700;3189.540283;106891000;70;-40;3854.285714;3884.285714;3896.666667;138.3060788;3780
TLKM.JK;04/12/18;3720;3780;3720;3780;3258.503418;121586400;60;60;3814.285714;3875;3885.238095;136.3643579;3770
TLKM.JK;05/12/18;3740;3800;3730;3770;3249.883057;58424400;70;30;3784.285714;3877.142857;3880;112.2285084;3710
TLKM.JK;06/12/18;3740;3770;3700;3710;3198.160645;62164100;70;-30;3752.857143;3867.142857;3874.285714;66.51172471;3670
TLKM.JK;07/12/18;3700;3710;3660;3670;3163.679199;92902000;50;-30;3728.571429;3842.857143;3862.857143;36.70993119;3680
TLKM.JK;10/12/18;3650;3720;3610;3680;3172.299805;70093700;110;30;3721.428571;3822.857143;3847.142857;42.98393941;3620
TLKM.JK;11/12/18;3640;3670;3610;3620;3120.577148;88050700;60;-20;3712.857143;3803.571429;3835.714286;44.61475306;3650
TLKM.JK;12/12/18;3660;3670;3620;3650;3146.438477;87333000;50;-10;3704.285714;3779.285714;3824.285714;56.23081683;3750
TLKM.JK;13/12/18;3680;3780;3660;3750;3232.642334;118965900;120;70;3697.142857;3755.714286;3815.714286;59.92058236;3730
TLKM.JK;14/12/18;3800;3840;3730;3730;3215.401611;139547100;110;-70;3692.857143;3738.571429;3815.714286;53.763149;3710
TLKM.JK;17/12/18;3740;3770;3710;3710;3198.160645;86251600;60;-30;3687.142857;3720;3807.142857;45.72172559;3740
TLKM.JK;18/12/18;3700;3740;3680;3740;3224.021973;79833100;60;40;3687.142857;3707.857143;3790.952381;45.72172559;3810
TLKM.JK;19/12/18;3740;3810;3740;3810;3284.364502;81542500;70;70;3697.142857;3709.285714;3780.952381;48.89249626;3740
TLKM.JK;20/12/18;3810;3810;3720;3740;3224.021973;100129200;90;-70;3715.714286;3714.285714;3774.285714;63.73307432;3760
TLKM.JK;21/12/18;3700;3770;3700;3760;3241.262451;114752300;70;60;3732.857143;3718.571429;3763.809524;47.85891965;3760
TLKM.JK;24/12/18;3760;3760;3760;3760;3241.262451;0;0;0;3748.571429;3722.857143;3753.333333;31.32015934;3760
TLKM.JK;25/12/18;3760;3760;3760;3760;3241.262451;0;0;0;3750;3721.428571;3742.380952;31.6227766;3730
TLKM.JK;26/12/18;3730;3750;3700;3730;3215.401611;50416400;50;0;3754.285714;3720.714286;3731.428571;30.47247001;3750
TLKM.JK;27/12/18;3780;3790;3730;3750;3232.642334;49980900;60;-30;3757.142857;3722.142857;3724.285714;26.27691364;3750
TLKM.JK;28/12/18;3770;3780;3750;3750;3232.642334;48224400;30;-20;3758.571429;3727.857143;3725.714286;25.44836041;3750
TLKM.JK;31/12/18;3750;3750;3750;3750;3232.642334;0;0;0;3750;3732.857143;3726.190476;11.54700538;3750
TLKM.JK;01/01/19;3750;3750;3750;3750;3232.642334;0;0;0;3751.428571;3742.142857;3729.52381;10.69044968;3730
TLKM.JK;02/01/19;3750;3760;3700;3730;3215.401611;31355300;60;-20;3750;3749.285714;3731.904762;10;3740
TLKM.JK;03/01/19;3710;3770;3690;3740;3224.021973;83842400;80;30;3745.714286;3747.857143;3729.52381;11.33893419;3710
TLKM.JK;04/01/19;3690;3740;3690;3710;3198.160645;73936900;50;20;3742.857143;3748.571429;3728.095238;9.511897312;3770
TLKM.JK;07/01/19;3760;3790;3750;3770;3249.883057;83678100;40;10;3740;3748.571429;3728.095238;15.27525232;3800
TLKM.JK;08/01/19;3770;3800;3750;3800;3275.743896;67963700;50;30;3742.857143;3750.714286;3732.857143;18.89822365;3730
TLKM.JK;09/01/19;3820;3830;3730;3730;3215.401611;98529400;100;-90;3750;3750;3738.571429;28.86751346;3800
TLKM.JK;10/01/19;3760;3800;3740;3800;3275.743896;126396700;60;40;3747.142857;3749.285714;3743.809524;29.84084768;3860
TLKM.JK;11/01/19;3820;3860;3800;3860;3327.466553;116753700;60;40;3754.285714;3752.142857;3750.952381;35.98941643;3850
TLKM.JK;14/01/19;3810;3850;3790;3850;3318.845947;68487000;60;40;3772.857143;3759.285714;3756.190476;51.54748158;3930
TLKM.JK;15/01/19;3860;3930;3850;3930;3387.809326;83464900;80;70;3788.571429;3765.714286;3761.904762;56.39993246;3990
TLKM.JK;16/01/19;3940;4000;3920;3990;3439.53125;139056700;80;50;3820;3780;3772.380952;65.82805886;3990
TLKM.JK;17/01/19;3970;3990;3960;3990;3439.53125;78766100;30;20;3851.428571;3797.142857;3784.285714;87.06866475;4020
TLKM.JK;18/01/19;4010;4020;3970;4020;3465.392578;76350400;50;10;3878.571429;3814.285714;3792.857143;97.3701822;4030
TLKM.JK;21/01/19;4040;4050;4020;4030;3474.012695;83317600;30;-10;3920;3833.571429;3806.190476;84.45906306;4000
TLKM.JK;22/01/19;4000;4010;3930;4000;3448.151611;95420500;80;0;3952.857143;3853.571429;3819.047619;74.09774754;3920
TLKM.JK;23/01/19;3950;3980;3920;3920;3379.188721;72518500;60;-30;3972.857143;3872.857143;3830.47619;62.9058253;3860
TLKM.JK;24/01/19;3900;3910;3830;3860;3327.466553;118836500;80;-40;3982.857143;3885.714286;3838.095238;42.31401884;3880
TLKM.JK;25/01/19;3880;3930;3840;3880;3344.707275;75844000;90;0;3972.857143;3896.428571;3844.285714;61.02302454;3780
TLKM.JK;28/01/19;3880;3890;3730;3780;3258.503418;168983100;160;-100;3957.142857;3904.285714;3850.47619;69.45365018;3840
TLKM.JK;29/01/19;3780;3850;3780;3840;3310.22583;118131200;70;60;3927.142857;3902.857143;3851.904762;93.93513466;3860
TLKM.JK;30/01/19;3850;3890;3830;3860;3327.466553;85903100;60;10;3901.428571;3910.714286;3856.190476;88.77472828;3900
TLKM.JK;31/01/19;3900;3920;3870;3900;3361.947998;110953700;50;0;3877.142857;3915;3861.428571;68.72997544;3870
TLKM.JK;01/02/19;3910;3930;3830;3870;3336.08667;79588900;100;-40;3862.857143;3917.857143;3869.52381;45.35573676;3780
