TICKER,Date,Open,High,Low,Close,Adj Close,Volume,H-L,C-O,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV,Next Day Close
EXCL.JK,2019-01-01,1980,1980,1980,1980,1901.480591,0,0,0,2007.142857,1980.357143,1967.619048,43.8612531,1980
EXCL.JK,2019-01-02,2020,2020,1955,1980,1901.480591,5313100,65,-40,1997.142857,1985,1965.714286,40.29652,2020
EXCL.JK,2019-01-03,1980,2030,1970,2020,1939.894287,11314600,60,40,1987.142857,1987.5,1965.714286,33.02235895,2040
EXCL.JK,2019-01-04,2010,2080,1990,2040,1959.101196,18759700,90,30,1982.857143,1994.642857,1971.904762,24.29971585,2140
EXCL.JK,2019-01-07,2020,2160,2020,2140,2055.135498,51722500,140,120,1997.142857,2003.928571,1976.190476,24.29971585,2190
EXCL.JK,2019-01-08,2140,2200,2110,2190,2103.152832,32563100,90,50,2017.142857,2018.571429,1984.761905,59.36168397,2250
EXCL.JK,2019-01-09,2210,2270,2200,2250,2160.773438,28621800,70,40,2047.142857,2029.285714,1997.857143,84.99299691,2250
EXCL.JK,2019-01-10,2250,2270,2210,2250,2160.773438,13872500,60,0,2085.714286,2046.428571,2015.47619,107.6811873,2200
EXCL.JK,2019-01-11,2250,2260,2200,2200,2112.756104,11299600,60,-50,2124.285714,2060.714286,2031.428571,111.782101,2110
EXCL.JK,2019-01-14,2200,2200,2110,2110,2026.325195,13180700,90,-90,2155.714286,2071.428571,2043.571429,93.96047801,2190
EXCL.JK,2019-01-15,2120,2210,2120,2190,2103.152832,20372700,90,70,2168.571429,2075.714286,2052.619048,76.90439334,2310
EXCL.JK,2019-01-16,2190,2330,2190,2310,2218.394043,40171200,140,120,2190,2093.571429,2065.952381,51.96152423,2300
EXCL.JK,2019-01-17,2330,2370,2300,2300,2208.790283,21537800,70,-30,2214.285714,2115.714286,2083.809524,63.20789583,2290
EXCL.JK,2019-01-18,2300,2350,2280,2290,2199.187256,11992000,70,-10,2230,2138.571429,2096.190476,69.52217872,2250
EXCL.JK,2019-01-21,2310,2340,2230,2250,2160.773438,11608400,110,-60,2235.714286,2160.714286,2109.52381,72.99706452,2270
EXCL.JK,2019-01-22,2220,2330,2170,2270,2179.980225,22784000,160,50,2235.714286,2180,2119.047619,72.99706452,2320
EXCL.JK,2019-01-23,2270,2370,2270,2320,2227.997559,27481400,100,50,2245.714286,2200.714286,2129.52381,72.07800008,2330
EXCL.JK,2019-01-24,2350,2360,2310,2330,2237.601074,15091400,50,-20,2275.714286,2222.142857,2142.380952,44.66808811,2190
EXCL.JK,2019-01-25,2360,2370,2170,2190,2103.152832,37595300,200,-170,2295.714286,2242.857143,2160.952381,28.19996623,2130
EXCL.JK,2019-01-28,2220,2220,2100,2130,2045.532104,32743000,120,-90,2278.571429,2246.428571,2170,47.75931722,2060
EXCL.JK,2019-01-29,2130,2170,2040,2060,1978.308105,29299200,130,-70,2254.285714,2242.142857,2177.142857,72.07800008,2110
EXCL.JK,2019-01-30,2070,2120,2060,2110,2026.325195,16156100,60,40,2221.428571,2228.571429,2180.952381,100.0714031,2170
EXCL.JK,2019-01-31,2140,2170,2120,2170,2083.945801,11999900,50,30,2201.428571,2218.571429,2187.142857,107.1492062,2100
EXCL.JK,2019-02-01,2170,2190,2100,2100,2016.72168,10715500,90,-70,2187.142857,2216.428571,2196.190476,103.0718658,2120
EXCL.JK,2019-02-04,2110,2140,2090,2120,2035.928833,16082100,50,10,2155.714286,2215.714286,2200,88.29064557,2120
EXCL.JK,2019-02-05,2120,2120,2120,2120,2035.928833,0,0,0,2125.714286,2210.714286,2203.809524,43.53433237,2200
EXCL.JK,2019-02-06,2130,2220,2130,2200,2112.756104,40880800,90,70,2115.714286,2197.142857,2202.857143,33.09438163,2170
EXCL.JK,2019-02-07,2210,2230,2150,2170,2083.945801,28062500,80,-40,2125.714286,2190,2203.333333,46.13644361,2180
EXCL.JK,2019-02-08,2160,2210,2140,2180,2093.549316,21432400,70,20,2141.428571,2181.428571,2199.52381,38.04758925,2130
EXCL.JK,2019-02-11,2170,2200,2110,2130,2045.532104,23067700,90,-40,2151.428571,2176.428571,2196.190476,37.60699023,2070
EXCL.JK,2019-02-12,2130,2140,2040,2070,1987.911377,21694700,100,-60,2145.714286,2166.428571,2192.857143,37.35288604,2020
EXCL.JK,2019-02-13,2090,2110,1995,2020,1939.894287,15619400,115,-70,2141.428571,2148.571429,2190.952381,44.50789122,2050
EXCL.JK,2019-02-14,2050,2110,1995,2050,1968.704468,43970600,115,0,2127.142857,2126.428571,2182.857143,64.21689438,2340
