Date,Open,High,Low,Close,Adj Close,Volume
2018-11-07,2250.000000,2270.000000,2130.000000,2160.000000,2074.342529,25946000
2018-11-08,2200.000000,2280.000000,2140.000000,2270.000000,2179.980225,32014800
2018-11-09,2260.000000,2300.000000,2200.000000,2270.000000,2179.980225,14170300
2018-11-12,2270.000000,2280.000000,2160.000000,2190.000000,2103.152832,13115400
2018-11-13,2150.000000,2150.000000,2090.000000,2120.000000,2035.928833,20623800
2018-11-14,2120.000000,2160.000000,2100.000000,2140.000000,2055.135498,15557900
2018-11-15,2140.000000,2200.000000,2140.000000,2160.000000,2074.342529,10707200
2018-11-16,2160.000000,2240.000000,2130.000000,2200.000000,2112.756104,16645400
2018-11-19,2210.000000,2240.000000,2140.000000,2190.000000,2103.152832,9953700
2018-11-20,2190.000000,2190.000000,2190.000000,2190.000000,2103.152832,0
2018-11-21,2170.000000,2210.000000,2150.000000,2180.000000,2093.549316,4971200
2018-11-22,2210.000000,2280.000000,2180.000000,2210.000000,2122.359619,10282500
2018-11-23,2210.000000,2250.000000,2210.000000,2220.000000,2131.963135,4753800
2018-11-26,2240.000000,2250.000000,2180.000000,2210.000000,2122.359619,5444200
2018-11-27,2210.000000,2220.000000,2180.000000,2200.000000,2112.756104,4738600
2018-11-28,2180.000000,2190.000000,2010.000000,2030.000000,1949.497681,18635700
2018-11-29,2040.000000,2100.000000,2030.000000,2050.000000,1968.704468,12457900
2018-11-30,2040.000000,2060.000000,1950.000000,2040.000000,1959.101196,17929200
2018-12-03,2000.000000,2050.000000,1985.000000,2020.000000,1939.894287,10873300
2018-12-04,2010.000000,2010.000000,1975.000000,1980.000000,1901.480591,11990300
2018-12-05,1965.000000,1965.000000,1875.000000,1890.000000,1815.049683,24077800
2018-12-06,1890.000000,1985.000000,1880.000000,1950.000000,1872.670288,22524900
2018-12-07,1960.000000,2020.000000,1955.000000,1960.000000,1882.273682,15009300
2018-12-10,1960.000000,1970.000000,1900.000000,1915.000000,1839.058105,6676500
2018-12-11,1925.000000,1925.000000,1875.000000,1880.000000,1805.446167,7964300
2018-12-12,1885.000000,1935.000000,1880.000000,1915.000000,1839.058105,11163500
2018-12-13,1940.000000,1990.000000,1915.000000,1945.000000,1867.868652,20301500
2018-12-14,1945.000000,1960.000000,1920.000000,1920.000000,1843.859863,8055500
2018-12-17,1930.000000,1935.000000,1890.000000,1910.000000,1834.256592,7817200
2018-12-18,1920.000000,1935.000000,1890.000000,1935.000000,1858.265015,5999700
2018-12-19,1950.000000,2040.000000,1940.000000,2040.000000,1959.101196,27021900
2018-12-20,2020.000000,2100.000000,2000.000000,2010.000000,1930.291016,31897000
2018-12-21,2010.000000,2060.000000,2000.000000,2050.000000,1968.704468,19388400
2018-12-24,2050.000000,2050.000000,2050.000000,2050.000000,1968.704468,0
2018-12-25,2050.000000,2050.000000,2050.000000,2050.000000,1968.704468,0
2018-12-26,2050.000000,2050.000000,1930.000000,1940.000000,1863.066772,8224700
2018-12-27,1970.000000,2040.000000,1970.000000,2000.000000,1920.687378,15916700
2018-12-28,2020.000000,2020.000000,1955.000000,1980.000000,1901.480591,22007600
2018-12-31,1980.000000,1980.000000,1980.000000,1980.000000,1901.480591,0
2019-01-01,1980.000000,1980.000000,1980.000000,1980.000000,1901.480591,0
2019-01-02,2020.000000,2020.000000,1955.000000,1980.000000,1901.480591,5313100
2019-01-03,1980.000000,2030.000000,1970.000000,2020.000000,1939.894287,11314600
2019-01-04,2010.000000,2080.000000,1990.000000,2040.000000,1959.101196,18759700
2019-01-07,2020.000000,2160.000000,2020.000000,2140.000000,2055.135498,51722500
2019-01-08,2140.000000,2200.000000,2110.000000,2190.000000,2103.152832,32563100
2019-01-09,2210.000000,2270.000000,2200.000000,2250.000000,2160.773438,28621800
2019-01-10,2250.000000,2270.000000,2210.000000,2250.000000,2160.773438,13872500
2019-01-11,2250.000000,2260.000000,2200.000000,2200.000000,2112.756104,11299600
2019-01-14,2200.000000,2200.000000,2110.000000,2110.000000,2026.325195,13180700
2019-01-15,2120.000000,2210.000000,2120.000000,2190.000000,2103.152832,20372700
2019-01-16,2190.000000,2330.000000,2190.000000,2310.000000,2218.394043,40171200
2019-01-17,2330.000000,2370.000000,2300.000000,2300.000000,2208.790283,21537800
2019-01-18,2300.000000,2350.000000,2280.000000,2290.000000,2199.187256,11992000
2019-01-21,2310.000000,2340.000000,2230.000000,2250.000000,2160.773438,11608400
2019-01-22,2220.000000,2330.000000,2170.000000,2270.000000,2179.980225,22784000
2019-01-23,2270.000000,2370.000000,2270.000000,2320.000000,2227.997559,27481400
2019-01-24,2350.000000,2360.000000,2310.000000,2330.000000,2237.601074,15091400
2019-01-25,2360.000000,2370.000000,2170.000000,2190.000000,2103.152832,37595300
2019-01-28,2220.000000,2220.000000,2100.000000,2130.000000,2045.532104,32743000
2019-01-29,2130.000000,2170.000000,2040.000000,2060.000000,1978.308105,29299200
