Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,2970.000000,3000.000000,2960.000000,2960.000000,2565.822021,93600
2018-09-19,2960.000000,3000.000000,2960.000000,2970.000000,2574.490479,62900
2018-09-20,2970.000000,3000.000000,2950.000000,2980.000000,2583.158691,240300
2018-09-21,2990.000000,3000.000000,2990.000000,3000.000000,2600.495361,119100
2018-09-24,3000.000000,3000.000000,2980.000000,2980.000000,2583.158691,82600
2018-09-25,2980.000000,2990.000000,2930.000000,2950.000000,2557.153564,764900
2018-09-26,2950.000000,3010.000000,2930.000000,2980.000000,2583.158691,831600
2018-09-27,2980.000000,3030.000000,2970.000000,3000.000000,2600.495361,440000
2018-09-28,3020.000000,3050.000000,2970.000000,3050.000000,2643.836914,237500
2018-10-01,3050.000000,3050.000000,2960.000000,2970.000000,2574.490479,702800
2018-10-02,2970.000000,2970.000000,2860.000000,2880.000000,2496.475586,1258300
2018-10-03,2880.000000,2880.000000,2790.000000,2800.000000,2427.128906,1248000
2018-10-04,2800.000000,2800.000000,2730.000000,2750.000000,2383.787354,293600
2018-10-05,2750.000000,2860.000000,2690.000000,2760.000000,2392.455811,461200
2018-10-08,2760.000000,2850.000000,2730.000000,2780.000000,2409.792236,150200
2018-10-09,2780.000000,2800.000000,2750.000000,2750.000000,2383.787354,97500
2018-10-10,2750.000000,2770.000000,2730.000000,2760.000000,2392.455811,162300
2018-10-11,2740.000000,2760.000000,2700.000000,2740.000000,2375.119141,106700
2018-10-12,2790.000000,2800.000000,2710.000000,2750.000000,2383.787354,141500
2018-10-15,2750.000000,2790.000000,2690.000000,2700.000000,2340.445801,148600
2018-10-16,2700.000000,2730.000000,2620.000000,2620.000000,2271.099365,599600
2018-10-17,2620.000000,2670.000000,2600.000000,2600.000000,2253.762695,389400
2018-10-18,2600.000000,2680.000000,2600.000000,2650.000000,2297.104248,368600
2018-10-19,2650.000000,2720.000000,2650.000000,2680.000000,2323.109131,259900
2018-10-22,2750.000000,3240.000000,2690.000000,2840.000000,2461.802246,14470000
2018-10-23,2800.000000,2880.000000,2660.000000,2660.000000,2305.772461,3686200
2018-10-24,2660.000000,2680.000000,2610.000000,2620.000000,2271.099365,1060600
2018-10-25,2600.000000,2600.000000,2490.000000,2510.000000,2175.747803,2088600
2018-10-26,2570.000000,2570.000000,2470.000000,2470.000000,2141.074463,943000
2018-10-29,2470.000000,2570.000000,2450.000000,2450.000000,2123.738037,1378800
2018-10-30,2450.000000,2470.000000,2420.000000,2440.000000,2115.069580,1077400
2018-10-31,2440.000000,2450.000000,2400.000000,2410.000000,2089.064453,771800
2018-11-01,2410.000000,2430.000000,2400.000000,2430.000000,2106.401123,636500
2018-11-02,2450.000000,2450.000000,2320.000000,2350.000000,2037.054565,1519100
2018-11-05,2350.000000,2420.000000,2350.000000,2350.000000,2037.054565,241800
2018-11-06,2370.000000,2400.000000,2350.000000,2350.000000,2037.054565,754800
2018-11-07,2380.000000,2380.000000,2320.000000,2320.000000,2011.049805,505300
2018-11-08,2350.000000,2360.000000,2290.000000,2290.000000,1985.044678,2305400
2018-11-09,2290.000000,2320.000000,2230.000000,2250.000000,1950.371460,954000
2018-11-12,2250.000000,2250.000000,2150.000000,2150.000000,1863.688477,811300
2018-11-13,2150.000000,2200.000000,2100.000000,2160.000000,1872.356567,276000
2018-11-14,2180.000000,2180.000000,2120.000000,2120.000000,1837.683350,181700
2018-11-15,2120.000000,2140.000000,2100.000000,2100.000000,1820.346802,1092800
2018-11-16,2110.000000,2290.000000,2110.000000,2180.000000,1889.693237,680600
2018-11-19,2180.000000,2220.000000,2140.000000,2160.000000,1872.356567,240500
2018-11-20,2160.000000,2160.000000,2160.000000,2160.000000,1872.356567,0
2018-11-21,2160.000000,2170.000000,2130.000000,2130.000000,1846.351685,144700
2018-11-22,2130.000000,2160.000000,2100.000000,2120.000000,1837.683350,753100
2018-11-23,2130.000000,2150.000000,2100.000000,2110.000000,1829.015137,448200
2018-11-26,2110.000000,2140.000000,2010.000000,2030.000000,1759.668457,766400
2018-11-27,2030.000000,2140.000000,2030.000000,2050.000000,1777.005249,997100
2018-11-28,2070.000000,2110.000000,2060.000000,2080.000000,1803.010132,157100
2018-11-29,2080.000000,2160.000000,1990.000000,2030.000000,1759.668457,915000
2018-11-30,2050.000000,2060.000000,1985.000000,1985.000000,1720.661133,1504500
2018-12-03,2000.000000,2080.000000,2000.000000,2080.000000,1803.010132,1017100
2018-12-04,2100.000000,2120.000000,2020.000000,2030.000000,1759.668457,723000
2018-12-05,2030.000000,2030.000000,1985.000000,1990.000000,1724.995361,1780200
2018-12-06,2000.000000,2020.000000,1960.000000,1965.000000,1703.324463,874900
2018-12-07,1970.000000,1980.000000,1920.000000,1945.000000,1685.987793,2380900
2018-12-10,1950.000000,1970.000000,1885.000000,1885.000000,1633.977905,1709400
2018-12-11,1895.000000,1895.000000,1835.000000,1850.000000,1603.638794,1196100
2018-12-12,1850.000000,1875.000000,1795.000000,1810.000000,1568.965454,2122600
2018-12-13,1820.000000,1825.000000,1775.000000,1790.000000,1551.628906,2399000
2018-12-14,1800.000000,1855.000000,1790.000000,1820.000000,1577.633789,1182700
2018-12-17,1830.000000,1840.000000,1775.000000,1785.000000,1547.294678,1615500
2018-12-18,1780.000000,1835.000000,1745.000000,1755.000000,1521.289795,1167500
2018-12-19,1765.000000,1770.000000,1735.000000,1735.000000,1503.953125,1594100
2018-12-20,1740.000000,1760.000000,1735.000000,1745.000000,1512.621460,947000
2018-12-21,1745.000000,1745.000000,1715.000000,1730.000000,1499.619019,1943100
2018-12-24,1730.000000,1730.000000,1730.000000,1730.000000,1499.619019,0
2018-12-25,1730.000000,1730.000000,1730.000000,1730.000000,1499.619019,0
